 Daytime,Elapsed,Hydro,Hydro %,Set Up,Set Up %,
 Advection,Advection %,HTurb,HTurb %,VTurb,VTurb %,Behavior,
 Behavior %,Update,Update %
        2.7500,       10.8883,        0.0000,        0.0000,        0.1093,        1.0034,        9.1630,       84.1547,        0.0270,        0.2478,        0.0201,        0.1844,        0.0228,        0.2091,        1.5102,       13.8699
        2.7917,       11.8682,        0.4779,        4.0268,        0.1217,        1.0255,        9.5861,       80.7712,        0.0220,        0.1857,        0.0199,        0.1677,        0.0149,        0.1255,        1.5839,       13.3460
        2.8333,       11.3393,        0.0000,        0.0000,        0.1420,        1.2520,        9.5413,       84.1433,        0.0290,        0.2557,        0.0262,        0.2315,        0.0172,        0.1513,        1.5289,       13.4835
        2.8750,       11.2933,        0.0000,        0.0000,        0.1216,        1.0771,        9.5408,       84.4814,        0.0171,        0.1513,        0.0180,        0.1594,        0.0229,        0.2032,        1.5278,       13.5286
        2.9167,       12.0142,        0.4729,        3.9362,        0.1136,        0.9459,        9.7925,       81.5083,        0.0257,        0.2139,        0.0139,        0.1153,        0.0157,        0.1311,        1.5406,       12.8236
        2.9583,       11.4622,        0.0000,        0.0000,        0.1223,        1.0671,        9.7360,       84.9396,        0.0220,        0.1922,        0.0240,        0.2098,        0.0203,        0.1768,        1.5026,       13.1094
        3.0000,       11.3763,        0.0000,        0.0000,        0.1167,        1.0258,        9.6699,       85.0002,        0.0229,        0.2017,        0.0190,        0.1669,        0.0150,        0.1314,        1.4831,       13.0367
        3.0417,       12.3221,        0.4819,        3.9111,        0.1146,        0.9302,       10.0613,       81.6525,        0.0190,        0.1540,        0.0151,        0.1223,        0.0160,        0.1298,        1.5731,       12.7666
        3.0833,       11.8492,        0.0000,        0.0000,        0.1108,        0.9354,       10.0809,       85.0765,        0.0229,        0.1937,        0.0199,        0.1679,        0.0163,        0.1375,        1.5573,       13.1428
        3.1250,       11.8152,        0.0000,        0.0000,        0.1349,        1.1416,       10.0854,       85.3601,        0.0220,        0.1865,        0.0169,        0.1431,        0.0169,        0.1431,        1.4989,       12.6862
        3.1667,       12.8370,        0.4500,        3.5051,        0.1147,        0.8939,       10.6764,       83.1687,        0.0172,        0.1341,        0.0198,        0.1545,        0.0131,        0.1017,        1.5009,       11.6916
        3.2083,       12.3621,        0.0000,        0.0000,        0.1096,        0.8867,       10.6072,       85.8044,        0.0298,        0.2414,        0.0157,        0.1274,        0.0120,        0.0973,        1.5446,       12.4943
        3.2500,       12.3581,        0.0000,        0.0000,        0.1212,        0.9804,       10.6294,       86.0116,        0.0313,        0.2534,        0.0231,        0.1867,        0.0129,        0.1047,        1.5001,       12.1388
